pagina,numero_token_originali,numero_nodi_grafo,numero_archi_grafo,gradi_dei_nodi,coefficiente_clustering_medio,lunghezza_media_cammino_minimo
41,288,288,310,"[1, 1, 3, 0, 0, 3, 0, 0, 2, 3, 2, 0, 1, 1, 1, 0, 0, 0, 2, 1, 0, 0, 0, 3, 0, 5, 3, 1, 9, 4, 1, 0, 2, 0, 1, 0, 0, 5, 1, 2, 4, 11, 2, 1, 0, 0, 1, 0, 1, 1, 1, 3, 1, 3, 2, 1, 1, 3, 2, 2, 4, 2, 0, 2, 4, 13, 1, 0, 6, 0, 0, 1, 0, 1, 2, 4, 2, 0, 3, 3, 0, 0, 0, 0, 3, 0, 3, 3, 2, 4, 2, 2, 0, 1, 0, 5, 0, 2, 3, 0, 4, 0, 0, 0, 0, 0, 0, 2, 0, 0, 4, 11, 2, 0, 3, 0, 5, 2, 0, 1, 0, 0, 6, 3, 2, 0, 0, 0, 4, 4, 0, 1, 0, 1, 0, 3, 2, 3, 11, 0, 1, 2, 0, 0, 3, 0, 0, 2, 2, 1, 0, 11, 1, 1, 6, 0, 9, 0, 1, 1, 1, 3, 1, 2, 0, 9, 0, 2, 0, 0, 11, 0, 9, 0, 11, 5, 2, 1, 1, 2, 0, 0, 0, 11, 2, 2, 2, 0, 0, 11, 4, 1, 9, 3, 0, 0, 2, 3, 5, 0, 1, 1, 6, 0, 0, 0, 9, 2, 3, 2, 1, 2, 1, 9, 1, 0, 0, 11, 0, 0, 2, 0, 9, 0, 0, 2, 4, 4, 2, 0, 1, 1, 3, 2, 3, 0, 3, 3, 11, 4, 1, 2, 3, 2, 0, 6, 1, 0, 3, 11, 2, 6, 1, 5, 1, 1, 0, 0, 0, 0, 0, 5, 0, 2, 0, 0, 6, 0, 9, 3, 0, 0, 4, 3, 3, 3, 11, 4, 0, 0, 0, 0, 9, 4, 0, 0, 0, 0]",0.42097578347578346,2.4761904761904763
42,128,128,50,"[0, 0, 0, 0, 3, 1, 0, 0, 0, 1, 0, 2, 2, 1, 0, 0, 1, 0, 0, 2, 1, 0, 0, 0, 0, 1, 0, 1, 3, 0, 0, 2, 0, 2, 0, 2, 3, 3, 0, 3, 0, 0, 0, 1, 1, 1, 3, 0, 0, 1, 1, 2, 1, 2, 0, 0, 0, 0, 2, 1, 0, 2, 1, 1, 2, 2, 0, 0, 1, 2, 0, 1, 2, 2, 0, 0, 1, 1, 0, 2, 0, 3, 3, 3, 3, 1, 2, 2, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 2, 0, 2, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",0.2578125,1.0
43,271,271,395,"[0, 2, 1, 1, 1, 2, 2, 2, 2, 0, 0, 0, 0, 1, 1, 0, 0, 2, 2, 1, 1, 1, 1, 5, 0, 0, 2, 7, 2, 4, 7, 3, 5, 0, 7, 0, 1, 0, 1, 1, 1, 7, 0, 0, 2, 0, 1, 1, 1, 1, 0, 0, 2, 2, 0, 1, 3, 0, 7, 5, 18, 0, 4, 0, 7, 1, 0, 0, 0, 0, 18, 0, 9, 2, 3, 1, 3, 1, 0, 0, 1, 0, 18, 0, 4, 0, 18, 2, 2, 2, 13, 7, 2, 9, 0, 0, 0, 3, 2, 2, 3, 0, 0, 7, 0, 7, 0, 0, 4, 2, 3, 0, 1, 1, 1, 1, 7, 1, 7, 0, 1, 4, 0, 6, 0, 0, 2, 0, 1, 18, 6, 0, 1, 0, 0, 1, 5, 0, 0, 18, 0, 0, 18, 0, 18, 0, 0, 0, 7, 1, 2, 2, 2, 7, 5, 18, 0, 18, 2, 18, 0, 18, 0, 18, 0, 1, 0, 1, 9, 3, 1, 3, 0, 0, 7, 7, 0, 2, 1, 3, 9, 1, 1, 5, 2, 0, 0, 3, 3, 1, 18, 1, 0, 1, 1, 0, 0, 18, 0, 5, 18, 0, 0, 0, 1, 0, 0, 1, 7, 1, 0, 0, 0, 2, 0, 0, 1, 1, 1, 4, 0, 1, 0, 0, 0, 18, 0, 1, 0, 0, 1, 1, 7, 2, 2, 2, 0, 0, 3, 0, 0, 6, 7, 7, 0, 0, 1, 0, 7, 0, 7, 7, 0, 0, 0, 18, 0, 5, 0, 0, 7, 0, 0, 1, 0, 18, 1, 0, 0, 0, 0]",0.3629054422412356,2.357142857142857
44,236,236,151,"[0, 0, 1, 0, 8, 3, 7, 1, 1, 1, 0, 1, 0, 4, 0, 0, 0, 2, 3, 1, 0, 3, 0, 1, 0, 0, 1, 0, 1, 0, 0, 3, 0, 1, 0, 0, 0, 7, 3, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 8, 1, 2, 0, 1, 1, 0, 1, 2, 0, 8, 1, 8, 1, 1, 1, 2, 1, 8, 0, 0, 0, 7, 0, 0, 0, 0, 0, 3, 3, 3, 0, 0, 1, 0, 1, 1, 0, 2, 2, 2, 0, 1, 0, 0, 0, 2, 0, 0, 3, 0, 1, 2, 0, 0, 1, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 8, 0, 2, 3, 1, 7, 0, 0, 7, 3, 1, 2, 0, 0, 0, 3, 1, 1, 2, 4, 3, 0, 7, 1, 2, 0, 1, 0, 0, 3, 0, 0, 0, 3, 4, 1, 3, 0, 0, 7, 4, 0, 0, 0, 0, 8, 0, 0, 0, 0, 2, 0, 8, 0, 3, 0, 3, 2, 0, 0, 0, 0, 2, 0, 3, 0, 1, 0, 12, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 2, 0, 2, 3, 0, 4, 0, 0, 3, 0, 0, 2, 0, 8, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.25147663071391885,1.8571428571428572
45,261,261,255,"[4, 0, 0, 0, 3, 9, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 8, 0, 0, 12, 0, 5, 0, 0, 0, 6, 1, 0, 1, 8, 5, 0, 3, 2, 3, 0, 0, 2, 0, 2, 0, 5, 3, 0, 0, 8, 0, 1, 1, 0, 0, 0, 9, 1, 3, 8, 0, 2, 0, 0, 0, 1, 0, 1, 0, 7, 4, 3, 0, 0, 6, 0, 1, 3, 9, 0, 0, 4, 3, 4, 4, 0, 0, 0, 0, 0, 0, 0, 4, 3, 4, 4, 3, 4, 4, 3, 4, 0, 0, 0, 2, 1, 0, 7, 6, 0, 0, 6, 0, 0, 8, 2, 7, 8, 0, 7, 0, 0, 6, 0, 3, 1, 0, 8, 0, 7, 0, 0, 4, 0, 0, 2, 4, 2, 4, 0, 0, 0, 0, 2, 4, 0, 0, 8, 0, 1, 1, 8, 0, 0, 0, 0, 7, 4, 0, 0, 3, 1, 2, 3, 4, 3, 0, 6, 0, 1, 1, 0, 1, 1, 8, 1, 2, 0, 0, 0, 0, 1, 8, 0, 3, 0, 3, 5, 0, 0, 0, 0, 3, 1, 1, 0, 6, 0, 0, 12, 1, 1, 1, 0, 0, 3, 1, 0, 0, 1, 7, 0, 8, 0, 7, 0, 0, 0, 2, 0, 3, 0, 3, 0, 2, 0, 0, 0, 0, 1, 1, 0, 0, 3, 3, 2, 2, 3, 0, 0, 3, 2, 2, 6, 2, 0, 3, 2, 2, 6, 1, 0, 0, 0, 1, 0, 7, 4, 0, 0, 0, 0]",0.37643180574215057,1.7047619047619047
46,73,73,18,"[0, 0, 1, 1, 2, 1, 0, 1, 0, 0, 2, 0, 2, 0, 1, 2, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0]",0.0821917808219178,1.0
47,288,288,282,"[3, 3, 10, 0, 0, 1, 1, 0, 1, 0, 2, 0, 0, 0, 0, 4, 1, 1, 0, 2, 3, 3, 0, 5, 0, 2, 0, 2, 0, 2, 0, 4, 4, 1, 4, 4, 0, 4, 4, 0, 1, 0, 0, 4, 4, 2, 5, 0, 8, 0, 1, 1, 1, 0, 4, 2, 2, 1, 0, 1, 19, 2, 10, 1, 0, 0, 1, 0, 0, 8, 2, 0, 0, 0, 0, 0, 0, 1, 5, 4, 1, 0, 0, 2, 3, 4, 0, 0, 5, 3, 0, 2, 10, 4, 0, 0, 4, 1, 0, 8, 0, 5, 3, 4, 0, 0, 0, 0, 0, 1, 3, 0, 0, 1, 0, 5, 2, 3, 0, 2, 0, 1, 5, 2, 1, 0, 1, 0, 0, 5, 2, 2, 1, 0, 3, 0, 1, 1, 0, 1, 0, 4, 5, 0, 2, 2, 5, 4, 5, 0, 5, 10, 4, 0, 3, 0, 0, 0, 3, 0, 1, 0, 0, 1, 0, 1, 0, 0, 2, 4, 5, 1, 8, 0, 0, 2, 3, 0, 0, 1, 0, 4, 0, 2, 10, 0, 2, 2, 2, 1, 2, 0, 0, 1, 3, 10, 1, 0, 3, 0, 1, 19, 5, 0, 0, 3, 0, 8, 1, 1, 8, 2, 0, 0, 0, 8, 0, 4, 0, 2, 0, 0, 0, 3, 0, 0, 1, 5, 3, 0, 2, 0, 2, 0, 0, 1, 1, 0, 5, 0, 8, 0, 2, 5, 0, 3, 0, 0, 2, 1, 0, 8, 2, 10, 0, 0, 2, 3, 0, 5, 1, 0, 5, 0, 0, 0, 2, 0, 0, 4, 1, 2, 1, 10, 0, 0, 0, 3, 0, 0, 1, 0, 8, 3, 0, 0, 0, 0]",0.38375365497076025,2.08
48,243,243,190,"[0, 0, 2, 0, 5, 5, 0, 0, 5, 0, 5, 2, 1, 1, 0, 2, 0, 0, 0, 5, 3, 2, 6, 0, 6, 0, 5, 7, 1, 0, 1, 2, 0, 0, 0, 0, 5, 1, 4, 3, 2, 1, 1, 0, 5, 0, 0, 0, 0, 2, 0, 5, 0, 0, 2, 4, 3, 0, 0, 0, 0, 0, 5, 0, 0, 4, 1, 5, 7, 1, 4, 0, 3, 4, 1, 0, 1, 1, 0, 0, 2, 2, 2, 0, 2, 0, 0, 5, 2, 0, 0, 0, 1, 4, 0, 0, 0, 3, 0, 0, 0, 2, 2, 1, 1, 2, 3, 1, 1, 0, 5, 1, 1, 0, 3, 2, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 2, 2, 2, 0, 1, 0, 2, 2, 0, 1, 0, 0, 4, 0, 0, 1, 3, 0, 3, 0, 4, 3, 1, 0, 0, 2, 1, 0, 1, 0, 0, 6, 0, 0, 5, 0, 1, 0, 0, 2, 0, 0, 4, 0, 5, 1, 0, 0, 1, 0, 1, 5, 0, 2, 2, 5, 5, 6, 0, 1, 0, 0, 2, 0, 0, 5, 6, 0, 0, 1, 1, 5, 4, 0, 3, 2, 5, 4, 0, 1, 0, 0, 0, 6, 3, 4, 7, 0, 0, 0, 6, 3, 1, 5, 0, 0, 0, 0, 0, 3, 1, 1, 0, 5, 1, 0, 2, 4, 0, 2, 0, 5, 0, 0, 0, 0, 0]",0.36713697824808933,1.5555555555555556
49,307,307,429,"[11, 0, 0, 3, 0, 7, 6, 0, 3, 5, 0, 6, 12, 1, 0, 0, 1, 1, 2, 5, 0, 0, 11, 0, 12, 0, 0, 12, 0, 0, 1, 2, 11, 14, 1, 9, 0, 11, 1, 0, 1, 1, 1, 11, 0, 0, 1, 6, 0, 0, 9, 0, 0, 0, 0, 5, 2, 1, 12, 0, 0, 0, 2, 0, 3, 12, 0, 6, 1, 4, 3, 0, 3, 2, 0, 3, 14, 0, 0, 5, 0, 0, 1, 0, 2, 14, 0, 0, 0, 9, 0, 5, 3, 0, 1, 14, 1, 11, 0, 0, 6, 10, 0, 0, 1, 0, 0, 0, 9, 1, 0, 3, 6, 1, 11, 5, 0, 2, 9, 0, 0, 1, 1, 2, 0, 5, 2, 1, 11, 5, 4, 1, 7, 0, 0, 4, 1, 1, 9, 3, 0, 0, 4, 3, 0, 9, 0, 3, 0, 5, 7, 0, 5, 11, 0, 0, 0, 4, 2, 0, 0, 6, 0, 0, 0, 5, 10, 9, 0, 6, 2, 2, 0, 0, 3, 14, 0, 0, 0, 0, 6, 1, 5, 3, 0, 1, 1, 1, 1, 10, 0, 0, 12, 0, 4, 0, 0, 0, 5, 1, 0, 11, 1, 1, 0, 0, 4, 1, 0, 2, 0, 2, 0, 6, 2, 3, 3, 3, 0, 4, 5, 0, 2, 0, 6, 0, 9, 3, 1, 0, 5, 6, 9, 0, 1, 6, 0, 1, 5, 1, 0, 0, 0, 0, 11, 0, 0, 4, 0, 0, 0, 1, 6, 2, 2, 1, 6, 6, 2, 14, 0, 1, 0, 0, 0, 0, 6, 1, 2, 4, 1, 7, 10, 0, 0, 0, 12, 0, 0, 0, 1, 0, 4, 1, 6, 5, 0, 6, 0, 6, 0, 1, 0, 1, 1, 0, 4, 0, 0, 3, 0, 11, 6, 0, 0, 0, 0]",0.4116174090115458,1.1428571428571428
50,44,44,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",0.0,1.0
51,251,251,188,"[3, 1, 0, 3, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 2, 5, 3, 0, 0, 1, 0, 1, 1, 6, 1, 1, 0, 6, 2, 2, 0, 2, 0, 1, 4, 1, 0, 0, 1, 0, 0, 0, 0, 0, 3, 0, 1, 0, 9, 0, 1, 0, 1, 8, 0, 0, 1, 0, 3, 0, 0, 3, 0, 1, 1, 1, 0, 0, 4, 0, 6, 0, 2, 4, 1, 0, 0, 2, 2, 5, 0, 0, 0, 4, 1, 1, 0, 1, 9, 0, 1, 6, 0, 0, 0, 0, 0, 0, 1, 2, 1, 6, 1, 0, 4, 1, 4, 1, 1, 1, 0, 1, 10, 0, 2, 5, 1, 0, 0, 5, 0, 0, 1, 0, 0, 0, 1, 0, 0, 4, 5, 1, 4, 1, 3, 0, 2, 2, 1, 0, 1, 1, 2, 1, 0, 2, 2, 9, 1, 2, 0, 1, 1, 5, 0, 0, 1, 0, 0, 6, 0, 4, 1, 1, 2, 0, 0, 1, 0, 8, 0, 2, 3, 1, 2, 0, 4, 1, 9, 1, 0, 4, 0, 1, 0, 0, 0, 0, 4, 1, 4, 0, 4, 1, 0, 0, 0, 0, 0, 4, 3, 0, 0, 1, 0, 0, 1, 0, 4, 4, 0, 0, 0, 2, 2, 0, 8, 0, 4, 1, 1, 0, 0, 0, 1, 8, 2, 0, 8, 2, 1, 1, 2, 0, 1, 1, 2, 0, 1, 1, 0, 0, 0, 2, 0, 6, 3, 0, 0, 0, 0]",0.2621071270473661,2.4836601307189543
52,242,242,218,"[0, 0, 5, 0, 5, 4, 0, 3, 1, 1, 1, 5, 3, 0, 0, 1, 1, 1, 4, 0, 0, 7, 0, 0, 0, 1, 3, 4, 0, 5, 0, 4, 4, 9, 2, 1, 0, 4, 0, 0, 1, 4, 4, 2, 0, 7, 0, 0, 10, 1, 0, 0, 0, 3, 0, 0, 0, 4, 1, 0, 9, 5, 0, 0, 0, 0, 5, 1, 4, 0, 4, 0, 0, 0, 7, 0, 0, 9, 6, 9, 1, 0, 1, 7, 2, 0, 2, 0, 4, 0, 0, 2, 0, 1, 0, 0, 7, 0, 1, 0, 0, 0, 4, 2, 1, 1, 0, 0, 2, 9, 5, 4, 0, 1, 0, 0, 0, 1, 4, 4, 3, 0, 0, 0, 2, 0, 3, 1, 0, 0, 3, 0, 5, 0, 0, 2, 2, 0, 0, 9, 1, 5, 0, 0, 0, 2, 2, 0, 2, 2, 0, 1, 2, 0, 0, 0, 5, 0, 0, 0, 0, 1, 0, 0, 2, 9, 5, 5, 0, 0, 5, 0, 3, 0, 0, 0, 0, 2, 0, 5, 0, 0, 0, 5, 8, 0, 0, 0, 7, 0, 0, 0, 1, 1, 0, 0, 0, 0, 2, 4, 4, 4, 0, 1, 0, 0, 3, 4, 4, 0, 4, 0, 0, 0, 9, 1, 0, 7, 2, 0, 1, 4, 3, 0, 1, 5, 2, 1, 5, 9, 0, 2, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0]",0.3665977961432507,1.1636363636363636
53,157,157,87,"[1, 0, 4, 0, 0, 4, 3, 0, 1, 0, 0, 1, 4, 2, 0, 1, 1, 0, 0, 0, 1, 0, 2, 0, 0, 3, 1, 4, 0, 1, 0, 0, 2, 1, 2, 0, 4, 2, 0, 0, 1, 1, 1, 4, 0, 3, 4, 0, 4, 0, 0, 0, 0, 5, 1, 0, 0, 4, 0, 0, 0, 1, 0, 0, 2, 5, 0, 4, 0, 1, 1, 5, 1, 5, 1, 1, 0, 0, 4, 0, 0, 0, 1, 4, 0, 2, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 4, 3, 0, 3, 0, 3, 1, 5, 0, 2, 1, 4, 0, 2, 1, 0, 2, 0, 1, 0, 1, 0, 0, 1, 3, 0, 0, 0, 0, 1, 0, 5, 1, 0, 4, 2, 1, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 3, 0, 0, 0, 0, 0]",0.2611464968152866,1.0
54,272,272,276,"[0, 0, 2, 0, 6, 3, 3, 3, 2, 2, 2, 2, 0, 0, 8, 3, 3, 0, 0, 0, 4, 0, 2, 1, 2, 0, 1, 4, 0, 3, 0, 12, 8, 1, 3, 0, 0, 0, 5, 1, 3, 2, 1, 1, 0, 1, 4, 12, 1, 4, 3, 2, 2, 2, 2, 1, 0, 0, 2, 1, 2, 0, 6, 0, 0, 12, 1, 2, 8, 0, 0, 8, 0, 0, 6, 0, 0, 2, 4, 0, 2, 1, 1, 1, 4, 1, 1, 3, 0, 1, 0, 5, 0, 0, 6, 0, 12, 0, 0, 0, 0, 5, 0, 0, 0, 1, 0, 0, 3, 1, 0, 0, 1, 0, 3, 2, 0, 8, 1, 0, 8, 1, 2, 0, 6, 0, 16, 0, 1, 12, 4, 2, 2, 2, 2, 4, 0, 0, 2, 0, 0, 0, 12, 3, 3, 2, 12, 0, 1, 6, 0, 0, 0, 0, 6, 3, 0, 0, 0, 3, 3, 0, 0, 5, 1, 3, 2, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 1, 12, 3, 0, 1, 2, 0, 0, 0, 0, 0, 0, 3, 2, 8, 1, 0, 0, 0, 4, 0, 0, 0, 0, 12, 1, 2, 1, 0, 0, 0, 2, 1, 0, 4, 0, 1, 4, 4, 4, 0, 0, 0, 4, 0, 16, 0, 0, 2, 0, 8, 1, 0, 12, 3, 0, 0, 2, 0, 0, 1, 1, 5, 0, 0, 0, 0, 1, 1, 0, 0, 1, 4, 2, 0, 2, 1, 1, 1, 4, 1, 1, 0, 5, 0, 0, 1, 12, 0, 0, 0, 0]",0.3886642156862745,1.3455882352941178
55,310,310,515,"[0, 1, 0, 0, 19, 2, 0, 0, 2, 0, 3, 8, 0, 5, 3, 4, 3, 1, 3, 0, 3, 1, 19, 1, 3, 3, 0, 8, 3, 0, 0, 1, 0, 15, 1, 0, 2, 0, 7, 3, 0, 0, 3, 5, 1, 15, 0, 1, 19, 0, 2, 0, 19, 0, 1, 3, 0, 0, 3, 0, 3, 0, 7, 3, 0, 1, 16, 0, 8, 0, 19, 0, 0, 19, 0, 0, 2, 0, 19, 0, 3, 0, 0, 19, 2, 15, 0, 19, 2, 3, 0, 1, 19, 1, 1, 3, 0, 0, 16, 0, 1, 5, 0, 1, 0, 0, 3, 0, 0, 0, 16, 1, 0, 3, 0, 0, 2, 0, 16, 1, 1, 1, 1, 0, 1, 0, 16, 0, 1, 0, 0, 7, 0, 0, 16, 0, 0, 0, 0, 1, 0, 8, 4, 2, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 2, 5, 3, 4, 3, 0, 0, 7, 4, 2, 3, 3, 0, 16, 2, 19, 1, 1, 7, 4, 2, 2, 2, 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15, 1, 1, 1, 2, 0, 1, 2, 19, 0, 19, 0, 0, 1, 0, 19, 0, 0, 19, 0, 2, 0, 10, 1, 3, 0, 3, 0, 0, 19, 0, 0, 5, 3, 4, 1, 0, 16, 0, 1, 1, 2, 8, 1, 1, 3, 0, 19, 0, 2, 0, 0, 3, 0, 0, 8, 0, 1, 0, 7, 16, 0, 3, 16, 1, 7, 0, 0, 1, 0, 19, 0, 0, 3, 1, 5, 4, 2, 3, 15, 0, 7, 4, 2, 0, 19, 0, 0, 2, 0, 1, 1, 0, 1, 0, 1, 1, 2, 0, 0, 1, 0, 3, 0, 8, 0, 15, 0, 8, 0, 0, 0, 0, 2, 0, 19, 2, 0, 0, 0, 0]",0.3956989247311828,1.0
56,272,272,365,"[0, 0, 0, 0, 8, 10, 1, 1, 2, 1, 1, 2, 6, 1, 0, 0, 0, 0, 0, 1, 1, 8, 0, 1, 1, 2, 1, 1, 2, 2, 0, 10, 2, 3, 3, 0, 0, 11, 1, 0, 0, 3, 11, 0, 1, 11, 0, 10, 1, 1, 1, 11, 0, 1, 11, 1, 1, 0, 0, 4, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2, 11, 10, 0, 3, 6, 2, 3, 1, 7, 6, 3, 4, 5, 0, 0, 9, 1, 3, 0, 0, 2, 6, 0, 8, 0, 2, 11, 1, 1, 0, 0, 0, 3, 0, 0, 11, 10, 1, 3, 6, 2, 3, 1, 7, 6, 3, 4, 5, 0, 9, 3, 0, 0, 7, 1, 5, 2, 6, 1, 1, 1, 1, 0, 9, 11, 0, 0, 4, 7, 0, 1, 9, 1, 6, 0, 0, 9, 0, 1, 0, 8, 1, 0, 0, 1, 2, 10, 2, 7, 0, 0, 0, 1, 0, 0, 2, 6, 1, 10, 9, 0, 4, 5, 0, 0, 1, 6, 0, 1, 8, 0, 1, 6, 0, 8, 0, 0, 9, 0, 0, 1, 11, 1, 1, 10, 2, 2, 2, 11, 0, 1, 6, 0, 10, 0, 1, 0, 0, 0, 0, 6, 0, 0, 0, 6, 0, 2, 0, 6, 0, 0, 1, 1, 10, 2, 6, 0, 0, 9, 0, 0, 8, 0, 11, 0, 0, 0, 2, 0, 2, 0, 0, 0, 6, 0, 0, 8, 0, 8, 0, 0, 1, 2, 0, 0, 0, 6, 0, 1, 2, 2, 9, 1, 9, 0, 0, 5, 10, 0, 0, 0, 0]",0.4080532212885154,1.0
57,49,49,15,"[1, 3, 1, 1, 1, 1, 0, 0, 2, 0, 0, 0, 3, 0, 0, 1, 2, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0]",0.14285714285714285,1.0
58,210,210,253,"[0, 0, 0, 0, 5, 5, 5, 0, 2, 4, 5, 5, 0, 0, 2, 0, 0, 2, 0, 1, 0, 3, 3, 0, 0, 0, 14, 1, 1, 2, 0, 1, 0, 0, 0, 0, 0, 0, 5, 0, 15, 2, 3, 0, 5, 1, 1, 0, 0, 0, 3, 0, 2, 1, 0, 2, 3, 0, 2, 5, 3, 0, 2, 0, 14, 0, 0, 0, 2, 3, 0, 1, 2, 1, 0, 5, 2, 2, 1, 2, 0, 1, 0, 0, 5, 0, 1, 1, 2, 3, 0, 15, 1, 1, 0, 0, 0, 5, 1, 0, 4, 4, 5, 2, 0, 0, 1, 4, 5, 15, 1, 1, 0, 2, 2, 1, 4, 5, 3, 0, 2, 1, 0, 0, 2, 1, 14, 3, 5, 4, 1, 0, 15, 1, 0, 15, 3, 5, 4, 1, 0, 2, 15, 2, 1, 0, 2, 14, 0, 2, 0, 0, 1, 15, 3, 5, 4, 1, 0, 4, 0, 2, 0, 0, 10, 2, 2, 0, 15, 3, 5, 1, 1, 0, 2, 3, 0, 2, 0, 0, 1, 0, 1, 1, 2, 4, 1, 14, 0, 1, 0, 1, 1, 0, 15, 0, 0, 0, 0, 2, 1, 2, 2, 0, 15, 0, 0, 0, 0, 0]",0.4151927437641723,1.0416666666666667
59,232,232,275,"[3, 0, 7, 1, 0, 3, 1, 3, 0, 0, 1, 0, 14, 1, 1, 1, 2, 1, 4, 0, 0, 1, 2, 1, 0, 14, 1, 1, 1, 0, 2, 1, 2, 1, 2, 0, 8, 14, 3, 3, 0, 1, 0, 1, 8, 4, 3, 5, 0, 0, 0, 0, 4, 3, 0, 1, 0, 1, 0, 0, 0, 0, 7, 1, 2, 14, 0, 14, 2, 0, 0, 14, 0, 7, 10, 0, 0, 2, 1, 3, 1, 0, 2, 0, 7, 1, 0, 2, 0, 0, 3, 1, 0, 8, 14, 3, 3, 2, 3, 3, 0, 0, 0, 1, 1, 4, 2, 2, 1, 1, 2, 3, 0, 0, 0, 13, 2, 2, 0, 3, 1, 0, 1, 0, 14, 3, 3, 0, 0, 2, 1, 2, 2, 1, 2, 2, 4, 1, 7, 2, 2, 0, 0, 13, 2, 1, 0, 4, 1, 7, 2, 0, 2, 3, 0, 3, 0, 0, 7, 0, 0, 2, 8, 14, 4, 3, 2, 2, 2, 0, 0, 0, 0, 1, 7, 3, 2, 2, 13, 0, 0, 0, 7, 3, 2, 2, 13, 0, 1, 0, 3, 0, 0, 1, 2, 0, 7, 3, 2, 2, 7, 3, 1, 1, 0, 0, 1, 0, 0, 2, 0, 0, 1, 1, 0, 14, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 7, 3, 0, 0, 0, 0]",0.43788366805608187,1.0380952380952382
60,244,244,248,"[0, 0, 1, 0, 10, 3, 0, 0, 1, 1, 0, 2, 0, 0, 9, 1, 1, 1, 8, 1, 1, 2, 1, 0, 0, 0, 2, 0, 2, 3, 0, 0, 0, 0, 0, 1, 1, 0, 1, 2, 4, 0, 1, 0, 1, 0, 0, 6, 0, 2, 1, 0, 2, 6, 2, 0, 1, 1, 10, 0, 0, 0, 0, 10, 7, 1, 9, 2, 2, 0, 1, 0, 2, 2, 1, 0, 3, 0, 4, 3, 0, 0, 0, 1, 1, 0, 18, 6, 1, 3, 2, 6, 1, 3, 1, 4, 1, 0, 0, 1, 1, 0, 0, 0, 0, 2, 0, 0, 1, 1, 0, 2, 0, 0, 0, 2, 4, 0, 0, 10, 0, 7, 1, 1, 1, 1, 2, 10, 1, 1, 1, 0, 0, 0, 0, 9, 10, 0, 1, 1, 3, 0, 0, 0, 1, 0, 0, 18, 1, 1, 9, 10, 0, 3, 4, 0, 10, 3, 10, 0, 10, 3, 3, 7, 2, 0, 0, 1, 7, 1, 1, 1, 2, 2, 10, 0, 0, 0, 2, 2, 7, 1, 1, 0, 3, 2, 2, 2, 0, 9, 2, 0, 3, 0, 0, 0, 3, 2, 3, 2, 0, 2, 4, 0, 7, 0, 9, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 9, 0, 2, 0, 1, 1, 1, 9, 2, 0, 0, 1, 0, 0, 0, 2, 8, 0, 0, 4, 1, 1, 0, 0, 0, 0, 0]",0.3229408703372059,2.263333333333333
